fiyat_tl,puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,temel_donanim_cpu_üretim_teknolojisi,tasarim_kalınlık,tasarim_ağırlık,özelli̇kler_suya_dayanıklılık,temel_bi̇lgi̇ler_çıkış_yılı
49499.01,87.0,6.7 İnç,Dynamic AMOLED,1440x3120 (QHD+) Piksel,120 Hz,3900 mAh,25 W,Var,200 MP,Var,12 MP,Qualcomm Snapdragon 8 Elite,12 GB,256 GB,3 nm,5.8 mm,163 Gram,Var,2025
72000.0,89.0,6.8 İnç,Dynamic AMOLED,1440x3120 (QHD+) Piksel,120 Hz,5000 mAh,45 W,Var,200 MP,Var,12 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),12 GB,512 GB,4 nm,8.6 mm,232 Gram,Var,2024
21769.46,75.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,5000 mAh,90 W,Yok,50 MP,Var,20 MP,Qualcomm Snapdragon 8s Gen 3 (SM8635),12 GB,512 GB,4 nm,7.8 mm,179 Gram,Var,2024
16320.0,66.0,6.5 İnç,Super AMOLED,1080x2400 (FHD+) Piksel,120 Hz,4500 mAh,25 W,Var,12 MP,Var,32 MP,Qualcomm Snapdragon 865 (SM8250),6 GB,128 GB,7 nm,8.4 mm,190 Gram,Var,2020
21389.93,78.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,6000 mAh,90 W,Yok,50 MP,Var,20 MP,MediaTek Dimensity 8400,8 GB,256 GB,4 nm,8.29 mm,195 Gram,Var,2025
14299.0,63.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,120 Hz,5000 mAh,25 W,Yok,50 MP,Var,13 MP,Samsung Exynos 1380,8 GB,256 GB,5 nm,7.7 mm,200 Gram,Var,2025
52999.0,90.0,6.78 İnç,OLED,1264x2780 (FHD+) Piksel,120 Hz,6500 mAh,120 W,Yok,50 MP,Var,16 MP,Qualcomm Snapdragon 8 Elite,12 GB,512 GB,3 nm,8.55 mm,222.8 Gram,Var,2024
12799.0,55.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,90 Hz,5000 mAh,25 W,Yok,50 MP,Yok,13 MP,Samsung Exynos 1330,8 GB,256 GB,5 nm,7.9 mm,200 Gram,Var,2024
79999.0,73.0,6.1 İnç,OLED,1170x2532 (FHD+) Piksel,120 Hz,3095 mAh,20 W,Var,12 MP,Var,12 MP,Apple A15 Bionic,6 GB,128 GB,5 nm,7.65 mm,204 Gram,Var,2021
78719.04,94.0,6.9 İnç,Dynamic AMOLED,1440x3120 (QHD+) Piksel,120 Hz,5000 mAh,45 W,Var,200 MP,Var,12 MP,Qualcomm Snapdragon 8 Elite,12 GB,512 GB,3 nm,8.2 mm,218 Gram,Var,2025
