urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,ekran_ekran_dayanıklılığı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi
49499.01,87,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Ceramic 2,3900 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.161.200 Puan,12 GB,256 GB,5.8 mm,163 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
78239.04,93,6.9 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor 2,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.551.600 Puan,12 GB,256 GB,8.2 mm,218 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
16320.00,66,6.5 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass 3,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 865 (SM8250),8 Çekirdek,7 nm,802.900 Puan,6 GB,128 GB,8.4 mm,190 Gram,Polimer (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX8
21389.93,78,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.700.100 Puan,8 GB,256 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
14299.00,63,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,Samsung Exynos 1380,8 Çekirdek,5 nm,599.200 Puan,8 GB,256 GB,7.7 mm,200 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
21999.00,,6.79 İnç,AMOLED,FHD+,120 Hz,,7500 mAh,Var,66 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 6 Gen 4 (SM6650),8 Çekirdek,4 nm,754.200 Puan,8 GB,256 GB,7.76 mm,189 Gram,Plastik (Cam Görünümlü),Var,5.2,Var,Android,Var,IPX9K
16399.00,69,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 888 (SM8350),8 Çekirdek,5 nm,955.800 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,5.0,Var,Android,Var,IPX8
14396.30,62,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,200 MP,Var,1080p (Full HD),60 fps,16 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,430.200 Puan,8 GB,256 GB,7.98 mm,188 Gram,Cam,Yok,5.2,Var,Android,Var,IPX4
34999.00,87,6.7 İnç,AMOLED,FHD+,120 Hz,,6000 mAh,Var,100 W,Var,200 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,1.902.700 Puan,12 GB,512 GB,8.1 mm,205 Gram,,Var,5.4,Var,Android,Var,IPX9
12221.03,63,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 1080 (MT6877V/TTZA),8 Çekirdek,6 nm,585.100 Puan,8 GB,256 GB,7.9 mm,187 Gram,Cam,Var,5.2,Var,Android,Var,IPX3
21883.20,72,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5000 mAh,Var,120 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 7200,8 Çekirdek,4 nm,742.500 Puan,12 GB,512 GB,8.9 mm,204.5 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
16664.52,,6.78 İnç,AMOLED,FHD+,144 Hz,,5000 mAh,Var,45 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8200,8 Çekirdek,4 nm,1.003.900 Puan,12 GB,256 GB,8.15 mm,194 Gram,,Var,,Var,Android,Var,IPX4
44999.00,69,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,3279 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A15 Bionic,6 Çekirdek,5 nm,1.381.900 Puan,6 GB,128 GB,7.8 mm,172 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
43754.00,92,6.83 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9400+,8 Çekirdek,3 nm,2.393.700 Puan,12 GB,256 GB,7.96 mm,210 Gram,Fiberglass,Var,6.0,Var,Android,Var,IPX8
17343.99,66,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,Qualcomm Snapdragon 6 Gen 3 (SM6475-AB),8 Çekirdek,4 nm,655.200 Puan,8 GB,256 GB,7.4 mm,195 Gram,Cam,Var,5.4,Var,Android,Var,IPX7
